id,x0,x1
582,9.89395855,9.41109876
583,9.76202371,9.33973210
584,9.63384129,9.26182660
585,9.50977920,9.17751410
586,9.39006270,9.08713734
587,9.27513921,8.99073925
588,9.16424742,8.88972930
589,9.05647383,8.78539880
590,8.95152433,8.67822789
591,8.84758954,8.57007264
592,8.74427939,8.46132056
593,8.64148288,8.35208286
594,8.53811581,8.24338489
595,8.43423766,8.13517523
596,8.32973799,8.02756566
597,8.22473239,7.92044972
598,8.11927903,7.81377457
599,8.01343539,7.70748664
600,7.90725835,7.60153175
601,7.80080430,7.49585520
602,7.69407395,7.39045771
603,7.58712308,7.28528398
604,7.48144653,7.17882992
605,7.37683424,7.07132984
606,7.27346716,6.96263187
607,7.17251529,6.85168721
608,7.07468068,6.73798413
609,6.98052698,6.62121478
610,6.89052676,6.50121494
611,6.80485524,6.37808740
612,6.72342304,6.25211599
613,6.64585340,6.12373005
614,6.57071740,5.99390485
615,6.49612588,5.86376606
616,6.42201183,5.73335476
617,6.34796609,5.60290466
618,6.27133963,5.47395356
619,6.19242981,5.34638695
620,6.11079983,5.22054361
621,6.02256851,5.09923724
622,5.92503192,4.98527842
623,5.81769629,4.88049740
624,5.70122332,4.78597732
625,5.57680915,4.70218522
626,5.44714160,4.62677748
627,5.31281978,4.56001187
628,5.17484655,4.50116130
629,5.03546699,4.44572361
630,4.89534566,4.39218845
631,4.75469868,4.34004990
632,4.61526114,4.28475820
633,4.47738053,4.22569098
634,4.34109337,4.16303471
635,4.20780078,4.09423727
636,4.07738948,4.02012323
637,3.95002989,3.94087971
638,3.82548426,3.85728314
639,3.70353439,3.76994341
640,3.58391259,3.67944133
641,3.46640737,3.58620763
642,3.35078034,3.49065456
643,3.23687261,3.39305831
644,3.12445989,3.29374375
645,3.01340957,3.19290811
646,2.90358161,3.09074246
647,2.79482953,2.98743232
648,2.68700134,2.88315826
649,2.58049196,2.77753746
650,2.47701112,2.66894780
651,2.37640828,2.55768653
652,2.27845466,2.44408597
653,2.18284106,2.32850898
654,2.08923866,2.21129724
655,1.99724056,2.09282215
656,1.90611339,1.97367586
657,1.81473687,1.85472068
658,1.72292498,1.73610122
659,1.63043142,1.61801252
660,1.53633887,1.50119389
661,1.44066477,1.38566699
662,1.34300889,1.27181037
663,1.24351788,1.15955379
664,1.14216005,1.04897988
665,1.04531648,0.94649904
666,0.95539832,0.85400188
667,0.87279688,0.77114053
668,0.79781573,0.69763661
669,0.72856155,0.63115460
670,0.66523490,0.57149945
671,0.60801323,0.51849304
672,0.55483597,0.46995255
673,0.50578841,0.42578993
674,0.46094835,0.38592304
675,0.42040497,0.35025464
676,0.38421741,0.31871957
